News_Headline,Link_Of_News,Source,Stated_On,Date,Label
"Alabama’s Crimson Tide will be the underdog in Saturday’s game against the Georgia Bulldogs, the first time in 72 consecutive games that Alabama has not been favored by oddsmakers to win.",https://www.politifact.com/factchecks/2015/oct/01/espn/oddsmakers-barking-about-georgia-bulldogs-over-cri/,ESPN," September 27,"," October 1, 2015",mostly-true
"""The people of Tiverton have historically supported [gambling measures] at a rate higher than the rest of the state.""",https://www.politifact.com/factchecks/2015/may/07/john-taylor-2/twin-river-chairman-john-taylor-says-tiverton-vote/,John Taylor," April 24, 201"," May 7, 2015",TRUE
"Says Hillary Clinton’s top 10 donors are mainly ""banks, corporations and media,"" while Bernie Sanders’ top 10 donors are labor unions.",https://www.politifact.com/factchecks/2015/jul/07/facebook-posts/meme-says-hillary-clintons-top-donors-are-banks-an/,Facebook posts," July 6, 2015 "," July 7, 2015",mostly-true
"There is ""a constitutional issue"" that affects ""the paychecks of members of Congress"" during a shutdown.",https://www.politifact.com/factchecks/2013/oct/07/mario-diaz-balart/mario-diaz-balart-says-congress-paid-during-shutdo/,Mario Diaz-Balart," October 2, 20"," October 7, 2013",TRUE
"Says Donald Trump promised ""the mass deportation of Latino families.""",https://www.politifact.com/factchecks/2016/jul/28/karen-bass/mass-deportation-latino-families/,Karen Bass," July 27, 2016"," July 28, 2016",half-true
"Says when Bernie Sanders was in college, Sanders said ""something very similar"" to what conservative Wisconsin Supreme Court Justice Rebecca Bradley had written as a college student in the 1990s -- that ""women have a legitimate role in date rape.""",https://www.politifact.com/factchecks/2016/mar/17/bill-mccoshen/bernie-sanders-made-rape-comment-similar-one-wisco/,Bill McCoshen," March 11, 201"," March 17, 2016",half-true
"Austin is ""a city that has basically doubled in size every 25 years or so since it was founded.""",https://www.politifact.com/factchecks/2014/mar/07/lee-leffingwell/austins-population-has-doubled-every-25-years-or-s/,Lee Leffingwell," February 25, "," March 7, 2014",TRUE
"Says LeBron James ""stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season.""",https://www.politifact.com/factchecks/2016/apr/28/alan-grayson/lebron-james-pays-social-security-taxes-halftime-f/,Alan Grayson," April 25, 201"," April 28, 2016",mostly-true
On support for Common Core education standards,https://www.politifact.com/factchecks/2013/oct/04/john-barge/candidate-barge-superintendent-barge-sometimes-dif/,John Barge," September 12,"," October 4, 2013",half-flip
“The KKK officially endorses Trump 2020.”,https://www.politifact.com/factchecks/2020/feb/17/facebook-posts/image-shared-facebook-claims-ku-klux-klan-endorsed/,Facebook posts," March 12, 201"," February 17, 2020",FALSE
"""Red Hen owner just issued sick threat to Sarah Sanders""",https://www.politifact.com/factchecks/2018/jun/27/houston-post/no-red-hen-owner-didnt-threaten-sarah-huckabee-san/,The Houston Post," June 26, 2018"," June 27, 2018",FALSE
"Says Patrick Murphy ""supports a gun ban on commonly owned semi-automatic firearms used for hunting, recreational shooting and self defense.""",https://www.politifact.com/factchecks/2016/oct/11/national-rifle-association/patrick-murphy-wants-ban-commonly-owned-guns-nra-s/,National Rifle Association," October 4, 20"," October 11, 2016",mostly-true
"Because of its higher minimum wage, New York State is ""already showing signs of various companies picking up and leaving.""",https://www.politifact.com/factchecks/2016/dec/23/michael-long/business-new-york-have-closed-because-minimum-wage/,Michael Long," October 14, 2"," December 23, 2016",barely-true
Says Bill Murray said “Social media is training us to compare our lives ... No wonder why everyone is depressed.”,https://www.politifact.com/factchecks/2020/apr/15/viral-image/no-evidence-bill-murray-said-social-media-linked-d/,Viral image," April 14, 202"," April 15, 2020",FALSE
"""Florida high schools are four out of the top 10 in the entire United States.""",https://www.politifact.com/factchecks/2014/mar/04/rick-scott/four-nations-top-10-high-schools-are-florida-rick-/,Rick Scott," March 4, 2014"," March 4, 2014",half-true
"In 2005 and 2007, "" Joe Straus received a 100 percent rating by NARAL (the National Abortion and Reproductive Rights Action League).""",https://www.politifact.com/factchecks/2016/feb/18/empower-texans/claim-shows-abortion-rights-group-gave-100-joe-str/,Empower Texans," January 28, 2"," February 18, 2016",barely-true
"The United States ""is the only major country that taxes its own exports.""",https://www.politifact.com/factchecks/2016/jun/28/kevin-brady/texas-republican-kevin-brady-errs-comparison-us-ta/,Kevin Brady," June 24, 2016"," June 28, 2016",barely-true
"The State Capitol Police ""recommended"" banning guns at the Capitol.",https://www.politifact.com/factchecks/2020/jan/15/virginia-house-democratic-caucus/va-house-leaders-wrongly-say-state-capitol-police-/,Virginia House Democratic Caucus," January 10, 2"," January 15, 2020",FALSE
"""It will cost $50,000 per enrollee in Obamacare over the next 10 years.""",https://www.politifact.com/factchecks/2015/jan/28/stuart-varney/will-aca-cost-50000-enrollee/,Stuart Varney," January 27, 2"," January 28, 2015",FALSE
"""After years of wage stagnation, we are finally seeing rising wages.""",https://www.politifact.com/factchecks/2018/jan/31/donald-trump/us-finally-seeing-rising-wages-donald-trump-said/,Donald Trump," January 30, 2"," January 30, 2018",barely-true
"While in prison, boxer Jack Johnson invented and patented the first wrench, and white people insulted him by calling it a “monkey wrench.”",https://www.politifact.com/factchecks/2020/jun/18/snoop-dogg/no-white-people-didnt-dub-black-boxer-jack-johnson/,Snoop Dogg," June 15, 2020"," June 18, 2020",FALSE
"""Martin Luther King said our lives begin to end the day we become silent on things that matter.""",https://www.politifact.com/factchecks/2017/jan/06/dan-patrick/half-true-dan-patrick-martin-luther-king-saying-li/,Dan Patrick," January 5, 20"," January 6, 2017",half-true
"""USAID put $8 billion up and attracted more than $45 billion in a public-private partnership called Power Africa.""",https://www.politifact.com/factchecks/2017/mar/21/david-perdue/sen-perdue-touts-us-power-program-africa/,David Perdue," March 1, 2017"," March 21, 2017",mostly-true
"""Every president since Eisenhower has taken executive action to address immigration issues.""",https://www.politifact.com/factchecks/2014/nov/30/tim-kaine/kaine-says-all-presidents-eisenhower-have-taken-ex/,Tim Kaine," November 20, "," November 30, 2014",mostly-true
"""We're the highest taxed nation in the world.""",https://www.politifact.com/factchecks/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/,Donald Trump," May 8, 2016 i"," May 8, 2016",FALSE
"Says there is a ""traditional 60-vote threshold for confirming Supreme Court nominees.""",https://www.politifact.com/factchecks/2017/mar/31/maggie-hassan/hassan-says-gorsuch-should-be-held-60-vote-thresho/,Maggie Hassan," March 28, 201"," March 31, 2017",barely-true
"""Was it 150 million people on private insurance? 50 million of those people lose their private insurance every year when they quit their jobs, or they go unemployed, or their employer changes their insurance policy.""",https://www.politifact.com/factchecks/2019/sep/13/bernie-sanders/do-50-million-people-really-lose-health-coverage-e/,Bernie Sanders," September 12,"," September 13, 2019",barely-true
The Castro regime ‘violated international norms’ by secretly shipping weapons to North Korea in violation of a U.N. embargo.,https://www.politifact.com/factchecks/2015/apr/24/david-perdue/Perdue-mostly-right-on-shady-weapons-deal/,David Perdue," April 15, 201"," April 24, 2015",mostly-true
"Says Patrick Morrisey undertook ""efforts to put educators in jail.""",https://www.politifact.com/factchecks/2018/oct/11/joe-manchin/did-patrick-morrisey-make-efforts-put-educators-ja/,Joe Manchin," September 14,"," October 11, 2018",FALSE
"Says Sen. Mark Pryor voted for ""special subsidies"" for lawmakers and staff in Congress ""so they’re protected from Obamacare.""",https://www.politifact.com/factchecks/2013/oct/09/tom-cotton/cotton-says-pryor-voted-give-congress-special-subs/,Tom Cotton," October 7, 20"," October 9, 2013",FALSE
"The Gates Foundation ""tested a polio vax in India between 2000 & 2017 and paralysed 496,000 children.""",https://www.politifact.com/factchecks/2020/apr/23/facebook-posts/anti-vaxxers-spread-conspiracy-about-bill-gates-an/,Facebook posts," April 13, 202"," April 23, 2020",FALSE
"""Requiring photo ID would keep about 200,000 Missourians from voting.""",https://www.politifact.com/factchecks/2016/mar/21/kip-kendrick/rep-kip-kendrick-half-right-voter-id-statement/,Kip Kendrick," February 4, 2"," March 21, 2016",half-true
"Domestic violence ""is seen as a pre-existing"" health condition and ""women had to pay 50 percent more for health care because of gender ratings,"" but under Obamacare, ""all of that is over.""",https://www.politifact.com/factchecks/2013/oct/06/gwen-moore/obamacare-stop-domestic-violence-pre-existing-cond/,Gwen Moore," September 29,"," October 6, 2013",half-true
"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",https://www.politifact.com/factchecks/2017/apr/21/jackie-speier/did-trump-really-mention-wikileaks-over-160-times-/,Jackie Speier," April 13, 201"," April 21, 2017",mostly-true
"Quotes Thomas Homer-Dixon as saying a windmill will ""never generate as much energy as was invested building it.""",https://www.politifact.com/factchecks/2019/apr/12/facebook-posts/no-professor-didnt-say-windmills-will-never-genera/,Facebook posts," April 11, 201"," April 12, 2019",FALSE
"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",https://www.politifact.com/factchecks/2017/jul/10/donald-trump/donald-trump-says-barack-obama-did-nothing-about-r/,Donald Trump," July 6, 2017 "," July 10, 2017",barely-true
"""The president has said the national security threat facing America, the top one, is global warming.""",https://www.politifact.com/factchecks/2016/jun/04/paul-babeu/arizona-sheriff-says-obama-called-global-warming-a/,Paul Babeu," May 26, 2016 "," June 3, 2016",barely-true
“Immigrants make up a majority of essential workers in places like New York City.”,https://www.politifact.com/factchecks/2020/may/07/kirsten-gillibrand/do-immigrants-make-majority-essential-workers-new-/,Kirsten Gillibrand," April 21, 202"," May 7, 2020",mostly-true
"""There have been more than 270 mass shootings in the United States in the last year alone. That’s where four or more are killed.""",https://www.politifact.com/factchecks/2017/oct/10/hillary-clinton/hillary-clintons-false-claim-mass-shootings/,Hillary Clinton," October 9, 20"," October 10, 2017",FALSE
"The United Nations has conducted ""172 successful peacekeeping missions and negotiations.""",https://www.politifact.com/factchecks/2013/sep/12/van-jones/van-jones-says-un-has-conducted-172-successful-pea/,Van Jones," September 10,"," September 12, 2013",mostly-true
"""Bill Gates’ Former Doctor Says Billionaire ‘Refused To Vaccinate His Children’""",https://www.politifact.com/factchecks/2018/may/02/yournewswirecom/Website-falsely-claims-Bill-Gates-refused-to-vacci/,YourNewsWire.com," May 7, 2018 i"," May 2, 2018",pants-fire
"Since 1938 the minimum wage has been increased ""23 times"" and was raised ""21 times during Democratic congresses, and only twice during Republican ones.""",https://www.politifact.com/factchecks/2019/feb/14/facebook-posts/yes-democrats-held-majority-almost-every-time-cong/,Facebook posts," February 11, "," February 14, 2019",mostly-true
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",https://www.politifact.com/factchecks/2018/jun/18/ted-cruz/ted-cruz-says-child-parent-separations-border-tied/,Ted Cruz," June 11, 2018"," June 18, 2018",barely-true
"""In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.""",https://www.politifact.com/factchecks/2013/aug/04/chris-christie/chris-christie-claims-kentucky-gets-more-twice-bac/,Chris Christie," July 30, 2013"," August 4, 2013",TRUE
"According to the most recent jobs report, ""we've got more Americans leaving the workforce than we have finding jobs.""",https://www.politifact.com/factchecks/2013/sep/16/john-boehner/john-boehner-says-more-americans-are-leaving-work-/,John Boehner," September 12,"," September 16, 2013",half-true
"""The states have always defined marriage.""",https://www.politifact.com/factchecks/2015/dec/13/marco-rubio/marco-rubio-says-states-have-always-defined-marria/,Marco Rubio," December 13, "," December 13, 2015",half-true
"Hillary Clinton ""supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.""",https://www.politifact.com/factchecks/2016/oct/09/ted-cruz/false-ted-cruz-claim-hillary-clinton-backs-unlimit/,Ted Cruz," September 24,"," October 9, 2016",FALSE
"Democrat Stephen Webber ""voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds, and even voted to allow sex offenders to be coaches.""",https://www.politifact.com/factchecks/2016/nov/06/caleb-rowden/rowden-claim-webbers-votes-dont-account-bills-chan/,Caleb Rowden," October 12, 2"," November 6, 2016",barely-true
"Says Donald Trump thinks ""a grown man pretending to be a woman (should) be allowed to use the women's restroom.""",https://www.politifact.com/factchecks/2016/apr/25/ted-cruz/cruz-attack-ad-trump-distorts-transgender-bathroom/,Ted Cruz," April 22, 201"," April 25, 2016",barely-true
"""For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.""",https://www.politifact.com/factchecks/2013/dec/06/cover-oregon/can-health-insurance-plans-be-purchased-cost-5-van/,Cover Oregon," November 25, "," December 6, 2013",half-true
"Says associates of financier Bill Browder ""sent a huge amount of money, over $400 million, as a contribution to the campaign of Hillary Clinton.""",https://www.politifact.com/factchecks/2018/jul/16/vladimir-putin/putins-pants-fire-claim-about-400-million-donation/,Vladimir Putin," July 16, 2018"," July 16, 2018",pants-fire
"""Our larger domestic threat is from racial supremacist groups.""",https://www.politifact.com/factchecks/2015/dec/18/andre-carson/rep-carson-miscasts-racial-supremacists-greater-/,André Carson," December 13, "," December 18, 2015",FALSE
"“During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.”",https://www.politifact.com/factchecks/2020/apr/17/gretchen-whitmer/what-1918-flu-pandemic-shows-us-about-social-dista/,Gretchen Whitmer," April 15, 202"," April 17, 2020",mostly-true
"""White House chef quits because Trump has only eaten fast food for 6 months.""",https://www.politifact.com/factchecks/2017/jul/17/halfwaypostcom/white-house-chefs-faux-resignation-fake-news-menu/,HalfwayPost.com," July 6, 2017 "," July 17, 2017",pants-fire
Says “Senator Joe Manchin hit (an) all time low saying seniors and the disabled did not need the relief package $1000 on Fox News.”,https://www.politifact.com/factchecks/2020/mar/23/facebook-posts/fact-checking-claim-about-joe-manchin-saying-senio/,Facebook posts," March 18, 202"," March 23, 2020",half-true
"""The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass.""",https://www.politifact.com/factchecks/2013/sep/04/peter-king/rep-peter-king-says-bill-clinton-continued-kosovo-/,Peter King," September 1, "," September 4, 2013",mostly-true
"""One hundred and ninety-four countries signed the Paris Agreement to control greenhouse gases. Our own voluntary agreement to accomplish the same goal — the Under2  MOU — has 165 signatories, representing a billion people.""",https://www.politifact.com/factchecks/2017/jan/26/jerry-brown/heres-what-you-need-know-about-californias-paris-a/,Jerry Brown," January 24, 2"," January 26, 2017",mostly-true
"Obamacare includes a ""$700 billion cut from Medicare for seniors.""",https://www.politifact.com/factchecks/2014/feb/14/national-republican-congressional-committee/nrcc-says-obamacare-cuts-money-medicare-and-senior/,National Republican Congressional Committee," February 12, "," February 14, 2014",half-true
Says Robin Vos wore protective gear that “election workers he forced to work … do not have.”,https://www.politifact.com/factchecks/2020/apr/10/facebook-posts/robin-vos-election-protective-gear-was-available-p/,Facebook posts," April 7, 2020"," April 10, 2020",barely-true
"Wisconsin’s economy has ""tanked"" under Gov. Scott Walker and ""so far in 2015 over 6,685 people have been laid off, already more than in all of 2014.""",https://www.politifact.com/factchecks/2015/jul/10/american-bridge-21st-century/american-bridge-21st-century-says-layoffs-show-eco/,American Bridge 21st Century," July 1, 2015 "," July 10, 2015",FALSE
"""We are the only advanced industrialized nation that bases our educational funding on property taxes.""",https://www.politifact.com/factchecks/2019/jul/31/marianne-williamson/fact-checking-marianne-williamson-school-funding-u/,Marianne Williamson," July 28, 2019"," July 31, 2019",half-true
"""Wisconsin’s graduation rates have grown to over 90 percent"" since Tony Evers became state school superintendent.",https://www.politifact.com/factchecks/2017/mar/10/tony-evers/tony-evers-says-graduation-rates-surpass-90-percen/,Tony Evers," February 13, "," March 10, 2017",barely-true
"""We’ve got close to 7 million Americans who have access to health care for the first time because of Medicaid expansion.""",https://www.politifact.com/factchecks/2014/feb/25/barack-obama/barack-obama-says-medicaid-expansion-has-brought-h/,Barack Obama," February 20, "," February 25, 2014",FALSE
"Says the proposed Texas Privacy Act ""is very different from"" North Carolina’s law ""in that theirs covers a whole list of things that the Texas Privacy Act does not.""",https://www.politifact.com/factchecks/2017/mar/02/lois-kolkhorst/lois-kolkhorst-says-texas-bathroom-proposal-very-d/,Lois Kolkhorst," February 6, 2"," March 2, 2017",half-true
Georgia residents file the most insurance claims for lightning strikes in the country.,https://www.politifact.com/factchecks/2015/jun/10/state-farm-insurance/georgia-leads-nation-lightning-claims/,State Farm Insurance," June 5, 2015 "," June 10, 2015",TRUE
Says U.S. Rep. Rashida Tlaib was photographed in front of a picture of Osama bin Laden and an ISIS flag.,https://www.politifact.com/factchecks/2019/jan/29/viral-image/no-us-rep-rashida-tlaib-wasnt-photographed-front-p/,Viral image," January 27, 2"," January 29, 2019",pants-fire
"""Back when Ted Cruz called Mitch McConnell a liar on the floor of the Senate floor, nobody invoked Rule 19 to censor him.""",https://www.politifact.com/factchecks/2017/feb/08/jeanne-shaheen/senate-republicans-didnt-use-rule-19-cruz-when-he-/,Jeanne Shaheen," February 8, 2"," February 8, 2017",mostly-true
"""In the states that allow open carry, violent crime was 23 percent lower.""",https://www.politifact.com/factchecks/2015/oct/09/matt-gaetz/violent-crime-lower-states-open-carry/,Matt Gaetz," October 6, 20"," October 9, 2015",half-true
"Says ""Nathan Deal killed pro-gun bills in 2013.""",https://www.politifact.com/factchecks/2013/oct/01/georgia-gun-owners/group-blames-deal-bill-defeat/,Georgia Gun Owners," August 10, 20"," October 1, 2013",barely-true
"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’ """,https://www.politifact.com/factchecks/2017/jun/04/donald-trump/donald-trumps-tweet-misleads-about-london-mayors-r/,Donald Trump," June 4, 2017 "," June 4, 2017",FALSE
"Says Charlie Crist ""is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.""",https://www.politifact.com/factchecks/2014/oct/13/republican-party-florida/republican-party-attacks-charlie-crist-digital-dom/,Republican Party of Florida," October 8, 20"," October 13, 2014",FALSE
"""In 2009, Mitch McConnell was the person that’s saying, 'Hey, we should get all the ethics information in before we do the hearings.' """,https://www.politifact.com/factchecks/2017/jan/08/cory-booker/booker-mcconnell-full-ethics-review-obama-nominees/,Cory Booker," January 8, 20"," January 8, 2017",mostly-true
"Says 80% of novel coronavirus cases are ""mild.""",https://www.politifact.com/factchecks/2020/mar/13/viral-image/are-80-percent-coronavirus-cases-mild/,Viral image," March 9, 2020"," March 13, 2020",mostly-true
"Says Sean Casten supports ""doubling premiums"" and ""cutting current health care plans.""",https://www.politifact.com/factchecks/2018/aug/12/peter-roskam/roskam-makes-absurd-claims-about-democratic-challe/,Peter Roskam," July 1, 2018 "," August 12, 2018",pants-fire
"If President Trump decides to deploy the U.S. military domestically, he would be “mobilizing U.S. military troops on American soil for the first time since 1807.”",https://www.politifact.com/factchecks/2020/jun/02/erin-burnett/erin-burnett-corrects-inaccurate-statements-about-/,Erin Burnett," June 1, 2020 "," June 2, 2020",FALSE
"Says Hillary Clinton ""has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000-page Obamatrade — the Trans-Pacific Partnership agreement.""",https://www.politifact.com/factchecks/2016/jul/19/jeff-sessions/mostly-false-jeff-sessions-says-clinton-champion-g/,Jeff Sessions," July 18, 2016"," July 18, 2016",barely-true
“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,https://www.politifact.com/factchecks/2020/apr/29/facebook-posts/claim-about-stimulus-check-eligibility-americans-m/,Facebook posts," April 23, 202"," April 29, 2020",barely-true
"Says singer Charlie Daniels said, ""voting for Trump is like playing country music backwards … you get your house back, your car back, your job back, your country back!""",https://www.politifact.com/factchecks/2019/jun/13/facebook-posts/no-charlie-daniels-never-said-voting-trump-playing/,Facebook posts," June 7, 2019 "," June 13, 2019",pants-fire
"""Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.""",https://www.politifact.com/factchecks/2016/jan/29/ted-cruz/ted-cruz-says-barack-obama-has-dramatically-degrad/,Ted Cruz," January 28, 2"," January 28, 2016",barely-true
"""Between the first and second quarters of 2018 — after the tax cuts were enacted — real wages fell by 1.8 percent.""",https://www.politifact.com/factchecks/2018/aug/01/nancy-pelosi/did-wages-fall-18-percent-after-donald-trumps-tax-/,Nancy Pelosi," July 26, 2018"," August 1, 2018",barely-true
“We inherited a broken test” for COVID-19.,https://www.politifact.com/factchecks/2020/mar/31/donald-trump/trump-blames-past-administrations-flawed-covid-19-/,Donald Trump," March 30, 202"," March 31, 2020",pants-fire
"""The truth is this tax [plan] raises middle-class taxes.""",https://www.politifact.com/factchecks/2017/dec/22/kirsten-gillibrand/will-republican-tax-law-raise-middle-class-taxes/,Kirsten Gillibrand," December 15, "," December 22, 2017",half-true
"The U.S. Supreme Court ruled that public school in the United States ""will not teach the tenets of Islam or Sharia Law.""",https://www.politifact.com/factchecks/2018/mar/15/nowtrumpcom/no-supreme-court-didnt-ban-sharia-law-schools/,Nowtrump.com," March 9, 2018"," March 15, 2018",pants-fire
"Says Donald Trump ""publicly invited Putin to hack into Americans’ (emails).""",https://www.politifact.com/factchecks/2016/sep/27/hillary-clinton/hillary-clinton-claims-donald-trump-invited-russia/,Hillary Clinton," September 26,"," September 26, 2016",half-true
"Says Hillary Clinton ""makes more per hour at a speaking gig than the average CEO does in a year.""",https://www.politifact.com/factchecks/2015/may/28/glenn-beck/glenn-beck-says-hillary-clinton-makes-more-one-spe/,Glenn Beck," May 13, 2015 "," May 28, 2015",barely-true
Says image shows Pete Buttigieg in a leather suit posing with two other men.,https://www.politifact.com/factchecks/2020/feb/21/facebook-posts/doctored-image-falsely-shows-pete-buttigieg-leathe/,Facebook posts," February 8, 2"," February 21, 2020",pants-fire
"""George P. Bush to place statue of (Mexican general) Santa Anna at the Alamo.""",https://www.politifact.com/factchecks/2019/dec/17/rick-range/no-texas-has-no-plans-santa-anna-statue-Alamo/,Rick Range," December 10, "," December 17, 2019",pants-fire
Says Florida had five sanctuary cities while Jeb Bush was governor.,https://www.politifact.com/factchecks/2015/jul/15/donald-trump/trump-says-florida-had-five-sanctuary-cities-when-/,Donald Trump," July 11, 2015"," July 15, 2015",FALSE
Virginia has “lagged behind other states when it comes to (covid-19) testing.”,https://www.politifact.com/factchecks/2020/apr/22/levar-stoney/virginia-lags-coronavirus-testing-stoney-says/,Levar Stoney," April 10, 202"," April 22, 2020",TRUE
A photograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.,https://www.politifact.com/factchecks/2015/jul/07/dinesh-dsouza/hillary-clinton-confederate-battle-flag-nope-old-i/,Dinesh D'Souza," July 7, 2015 "," July 7, 2015",pants-fire
"""8 Syrians caught at Texas border in Laredo.""",https://www.politifact.com/factchecks/2015/nov/20/greg-abbott/greg-abbott-claims-syrians-caught-mexico-border-re/,Greg Abbott," November 18, "," November 20, 2015",barely-true
"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",https://www.politifact.com/factchecks/2019/may/08/joe-biden/was-joe-biden-climate-change-pioneer-congress-hist/,Joe Biden," May 1, 2019 i"," May 8, 2019",TRUE
"""California is once again the sixth-largest economy in the world. If you add the GDP’s of Washington and Oregon, California would surpass the United Kingdom to become the fifth-largest economy in the world.""",https://www.politifact.com/factchecks/2016/dec/15/antonio-villaraigosa/villaraigosa-claims-california-oregon-washington-p/,Antonio Villaraigosa," December 8, 2"," December 15, 2016",mostly-true
President Barack Obama’s judicial appointments for Georgia and the region were drafted in secret and not vetted by legal groups among the president’s supporters.,https://www.politifact.com/factchecks/2014/jan/17/david-scott/scott-claims-secrecy-picking-judicial-nominees/,David Scott," January 6, 20"," January 17, 2014",mostly-true
"""In 2015 roughly 10,000 political arrests occurred in Cuba. That is five times as many as occurred in 2010, when there were only about 2,000.""",https://www.politifact.com/factchecks/2016/nov/29/ted-cruz/ted-cruz-says-political-arrests-cuba-have-increase/,Ted Cruz," November 27, "," November 29, 2016",mostly-true
"""Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.""",https://www.politifact.com/factchecks/2019/mar/27/facebook-posts/no-congress-didnt-repeal-law-bars-muslims-holding-/,Facebook posts," March 20, 201"," March 27, 2019",FALSE
"""I am still waiting for someone to produce pieces of the alleged plane"" that caused the Twin Towers to collapse.",https://www.politifact.com/factchecks/2018/apr/25/lawana-mayfield/charlotte-city-councilor-pieces-911-planes-havent-/,LaWana Mayfield," April 16, 201"," April 25, 2018",pants-fire
"“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”",https://www.politifact.com/factchecks/2020/jun/19/paul-junge/biden-called-limits-fracking-not-ban/,Paul Junge," June 10, 2020"," June 19, 2020",barely-true
"""Target to discontinue sale of Holy Bible.""",https://www.politifact.com/factchecks/2017/feb/23/blog-posting/target-did-not-stop-selling-bible-stores-despite-f/,Bloggers," February 16, "," February 23, 2017",pants-fire
"""Women take birth control, more than half of them, as a medication for other conditions.""",https://www.politifact.com/factchecks/2014/mar/26/barbara-boxer/barbara-boxer-says-more-half-women-use-birth-contr/,Barbara Boxer," March 25, 201"," March 26, 2014",half-true
"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""",https://www.politifact.com/factchecks/2018/nov/02/national-republican-congressional-committee/nrcc-ad-way-saying-jared-golden-wants-take-away-so/,National Republican Congressional Committee," October 30, 2"," November 2, 2018",pants-fire
"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",https://www.politifact.com/factchecks/2017/oct/03/sarah-huckabee-sanders/chicago-toughest-gun-control-claim-shot-full-holes/,Sarah Huckabee Sanders," October 2, 20"," October 3, 2017",pants-fire
"Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care.""",https://www.politifact.com/factchecks/2014/oct/02/dan-patrick/contrary-dan-patrick-claim-van-de-putte-didnt-vote/,Dan Patrick," September 29,"," October 2, 2014",FALSE
Homeless people are immune to COVID-19,https://www.politifact.com/factchecks/2020/may/01/facebook-posts/no-homeless-people-are-not-immune-catching-covid-1/,Facebook posts," April 21, 202"," May 1, 2020",pants-fire
Says the estate tax is a threat to family farms.,https://www.politifact.com/factchecks/2014/apr/03/kentucky-opportunity-coalition/pro-mcconnell-group-says-estate-tax-makes-it-hard-/,Kentucky Opportunity Coalition," April 1, 2014"," April 3, 2014",barely-true
"Says the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings.",https://www.politifact.com/factchecks/2015/may/03/robert-hurt/hurt-amiss-linking-estate-tax-small-farm-businesse/,Robert Hurt," April 16, 201"," May 3, 2015",FALSE
"Says Albert Einstein said, ""Evil is the result of what happens when man does not have God’s love present in his heart.""",https://www.politifact.com/factchecks/2019/jun/05/viral-image/no-evidence-einstein-said-evil-results-lack-gods-l/,Viral image," May 19, 2017 "," June 5, 2019",FALSE
"Says no one from the Bush family attended the 2012 Republican National Convention and ""there was no President Bush"" at the 2008 convention.",https://www.politifact.com/factchecks/2016/jul/17/reince-priebus/priebus-wrongly-says-no-bush-attended-2012-rnc/,Reince Priebus," July 17, 2016"," July 17, 2016",FALSE
"""Since December 2010 Florida has created 540,000 new jobs.""",https://www.politifact.com/factchecks/2014/apr/02/rick-scott/rick-scott-touts-private-sector-job-growth/,Rick Scott," March 31, 201"," April 2, 2014",mostly-true
"Says Marco Rubio has ""the worst voting record there is today.""",https://www.politifact.com/factchecks/2015/sep/17/donald-trump/trump-says-marco-rubio-has-worst-voting-record-the/,Donald Trump," September 16,"," September 17, 2015",mostly-true
"The uninsured rate in California reached ""a historic low of 7.4 percent in 2016.""",https://www.politifact.com/factchecks/2017/jan/19/jerry-brown/true-californias-uninsured-rate-has-hit-historic-l/,Jerry Brown," January 13, 2"," January 19, 2017",TRUE
